Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RobotBattleLearningBrain,4.638,22.699,13.913,32366,0.165
RobotBattleLearningBrain,4.492,37.501,9.563,32620,0.139
RobotBattleLearningBrain,4.426,51.648,9.035,32432,0.141
RobotBattleLearningBrain,4.459,66.123,9.313,32492,0.131
RobotBattleLearningBrain,4.462,80.242,8.984,32524,0.133
RobotBattleLearningBrain,4.528,94.427,8.982,32490,0.132
RobotBattleLearningBrain,4.502,108.723,9.097,32430,0.127
RobotBattleLearningBrain,4.496,122.941,9.041,32522,0.126
RobotBattleLearningBrain,4.494,137.119,9.001,32522,0.125
RobotBattleLearningBrain,4.536,151.258,8.926,32488,0.129
RobotBattleLearningBrain,4.424,165.609,9.215,32394,0.131
RobotBattleLearningBrain,4.461,179.835,9.074,32528,0.133
RobotBattleLearningBrain,5.601,196.225,10.036,32490,0.136
RobotBattleLearningBrain,7.253,218.809,14.197,32524,0.141
RobotBattleLearningBrain,5.660,236.571,11.177,32526,0.144
RobotBattleLearningBrain,4.653,251.208,9.271,32396,0.143
RobotBattleLearningBrain,4.453,266.727,10.280,32618,0.144
RobotBattleLearningBrain,4.910,282.307,9.968,32432,0.147
RobotBattleLearningBrain,6.102,303.205,13.618,32492,0.150
RobotBattleLearningBrain,5.222,320.043,10.802,32488,0.152
RobotBattleLearningBrain,5.143,337.794,11.631,32476,0.152
RobotBattleLearningBrain,4.496,353.394,10.308,32484,0.159
RobotBattleLearningBrain,4.643,367.747,9.011,32512,0.160
RobotBattleLearningBrain,4.608,382.796,9.645,32542,0.165
RobotBattleLearningBrain,4.768,397.939,9.636,32512,0.165
RobotBattleLearningBrain,4.786,413.212,9.712,32456,0.166
RobotBattleLearningBrain,5.375,429.091,9.741,32432,0.166
RobotBattleLearningBrain,4.703,443.944,9.417,32504,0.165
RobotBattleLearningBrain,5.809,461.111,10.574,32562,0.165
RobotBattleLearningBrain,6.949,487.418,17.638,32486,0.162
RobotBattleLearningBrain,4.628,504.385,11.467,32490,0.160
RobotBattleLearningBrain,5.646,521.781,10.870,32430,0.160
RobotBattleLearningBrain,5.003,539.823,12.054,32526,0.159
RobotBattleLearningBrain,4.856,555.213,9.739,32490,0.158
RobotBattleLearningBrain,4.980,570.584,9.603,32522,0.158
RobotBattleLearningBrain,5.066,586.779,10.294,32452,0.156
RobotBattleLearningBrain,6.057,604.713,11.006,32472,0.158
RobotBattleLearningBrain,5.281,623.260,12.305,32524,0.157
RobotBattleLearningBrain,5.303,638.908,9.592,32454,0.156
RobotBattleLearningBrain,7.182,657.040,10.140,32562,0.156
RobotBattleLearningBrain,4.586,675.796,13.063,32494,0.157
RobotBattleLearningBrain,4.574,690.663,9.580,32492,0.157
RobotBattleLearningBrain,4.559,705.268,9.334,32464,0.155
RobotBattleLearningBrain,5.014,722.041,10.873,32492,0.155
RobotBattleLearningBrain,6.399,741.891,12.422,32524,0.154
RobotBattleLearningBrain,5.689,759.057,10.648,32394,0.154
RobotBattleLearningBrain,5.101,774.448,9.545,32528,0.153
RobotBattleLearningBrain,4.863,791.839,11.574,32494,0.152
RobotBattleLearningBrain,4.710,807.530,10.211,32522,0.152
RobotBattleLearningBrain,4.478,823.948,11.116,32540,0.152
RobotBattleLearningBrain,4.786,838.918,9.462,32472,0.152
RobotBattleLearningBrain,4.749,853.951,9.551,32524,0.152
RobotBattleLearningBrain,4.520,868.454,9.276,32428,0.151
RobotBattleLearningBrain,4.654,883.750,9.829,32556,0.152
RobotBattleLearningBrain,4.512,898.360,9.382,32436,0.151
RobotBattleLearningBrain,4.713,912.905,9.144,32430,0.152
RobotBattleLearningBrain,4.489,927.294,9.210,32550,0.152
RobotBattleLearningBrain,5.182,942.860,9.643,32462,0.151
RobotBattleLearningBrain,4.463,957.393,9.358,32586,0.152
RobotBattleLearningBrain,4.496,971.665,9.083,32470,0.153
RobotBattleLearningBrain,4.471,986.387,9.562,32396,0.153
RobotBattleLearningBrain,4.644,1000.915,9.175,32528,0.154
RobotBattleLearningBrain,4.850,1015.518,9.068,32588,0.155
RobotBattleLearningBrain,5.129,1031.559,10.148,32470,0.157
RobotBattleLearningBrain,4.444,1046.000,9.292,32478,0.157
RobotBattleLearningBrain,4.513,1061.145,9.881,32508,0.158
RobotBattleLearningBrain,4.533,1075.767,9.361,32434,0.158
RobotBattleLearningBrain,5.719,1093.234,10.883,32548,0.158
RobotBattleLearningBrain,5.823,1113.725,13.582,32492,0.159
RobotBattleLearningBrain,5.031,1128.960,9.496,32436,0.162
RobotBattleLearningBrain,4.498,1143.784,9.585,32472,0.165
RobotBattleLearningBrain,4.606,1159.410,10.224,32624,0.167
RobotBattleLearningBrain,4.535,1174.646,9.940,32400,0.168
RobotBattleLearningBrain,5.313,1189.904,9.250,32586,0.169
RobotBattleLearningBrain,4.570,1205.732,10.400,32382,0.170
RobotBattleLearningBrain,5.272,1220.994,9.293,32562,0.170
RobotBattleLearningBrain,4.993,1238.181,10.531,32450,0.170
RobotBattleLearningBrain,5.748,1255.523,10.800,32490,0.171
RobotBattleLearningBrain,4.734,1271.318,10.244,32572,0.170
RobotBattleLearningBrain,4.518,1285.764,9.224,32480,0.171
RobotBattleLearningBrain,4.862,1301.162,9.787,32416,0.171
RobotBattleLearningBrain,4.480,1315.482,9.164,32496,0.171
RobotBattleLearningBrain,4.628,1330.913,10.041,32542,0.172
RobotBattleLearningBrain,4.451,1345.643,9.543,32454,0.172
RobotBattleLearningBrain,4.524,1359.944,9.086,32528,0.173
RobotBattleLearningBrain,4.552,1374.226,9.049,32548,0.172
RobotBattleLearningBrain,4.938,1389.630,9.698,32470,0.174
RobotBattleLearningBrain,4.600,1404.096,9.171,32430,0.174
RobotBattleLearningBrain,4.820,1419.040,9.397,32530,0.174
RobotBattleLearningBrain,5.068,1434.561,9.705,32488,0.174
RobotBattleLearningBrain,4.751,1449.465,9.423,32484,0.174
RobotBattleLearningBrain,4.655,1465.276,10.338,32474,0.174
RobotBattleLearningBrain,4.763,1480.432,9.634,32570,0.173
RobotBattleLearningBrain,4.790,1495.575,9.611,32382,0.172
RobotBattleLearningBrain,4.496,1510.104,9.322,32550,0.173
RobotBattleLearningBrain,4.539,1524.630,9.278,32526,0.173
RobotBattleLearningBrain,4.600,1539.363,9.400,32430,0.174
RobotBattleLearningBrain,5.160,1554.401,9.190,32524,0.173
RobotBattleLearningBrain,5.434,1571.424,10.782,32524,0.173
RobotBattleLearningBrain,5.035,1589.865,12.401,32488,0.173
RobotBattleLearningBrain,6.491,1609.225,11.933,32496,0.172
RobotBattleLearningBrain,6.019,1628.175,11.931,32432,0.172
RobotBattleLearningBrain,5.801,1648.196,13.095,32488,0.171
RobotBattleLearningBrain,6.135,1665.470,10.334,32500,0.171
RobotBattleLearningBrain,5.893,1686.449,13.935,32490,0.171
RobotBattleLearningBrain,5.741,1705.160,11.996,32566,0.171
RobotBattleLearningBrain,5.021,1722.205,11.166,32472,0.171
RobotBattleLearningBrain,4.619,1736.866,9.393,32536,0.171
RobotBattleLearningBrain,4.847,1752.212,9.830,32450,0.171
RobotBattleLearningBrain,4.596,1767.862,10.217,32524,0.171
RobotBattleLearningBrain,4.937,1783.581,10.009,32492,0.171
RobotBattleLearningBrain,4.558,1802.918,13.641,32452,0.170
RobotBattleLearningBrain,5.115,1821.129,12.134,32464,0.170
RobotBattleLearningBrain,4.975,1837.951,10.996,32512,0.169
RobotBattleLearningBrain,4.610,1852.834,9.530,32508,0.169
RobotBattleLearningBrain,4.761,1868.237,9.915,32490,0.169
RobotBattleLearningBrain,4.950,1883.380,9.458,32538,0.169
RobotBattleLearningBrain,4.930,1899.581,10.457,32406,0.169
RobotBattleLearningBrain,5.070,1918.460,13.009,32582,0.169
RobotBattleLearningBrain,4.652,1934.329,10.400,32512,0.170
RobotBattleLearningBrain,5.281,1950.768,10.362,32458,0.169
RobotBattleLearningBrain,5.655,1969.478,12.108,32544,0.169
RobotBattleLearningBrain,5.956,1986.747,10.495,32418,0.169
RobotBattleLearningBrain,6.021,2005.453,11.726,32552,0.170
RobotBattleLearningBrain,7.856,2024.627,10.490,32436,0.171
RobotBattleLearningBrain,5.365,2044.614,13.499,32452,0.171
RobotBattleLearningBrain,5.949,2062.193,10.821,32618,0.171
RobotBattleLearningBrain,6.067,2079.252,10.214,32436,0.171
RobotBattleLearningBrain,5.122,2096.216,10.968,32490,0.171
RobotBattleLearningBrain,5.177,2113.125,10.875,32452,0.172
RobotBattleLearningBrain,5.086,2131.075,11.858,32564,0.172
RobotBattleLearningBrain,5.379,2147.221,9.991,32432,0.172
RobotBattleLearningBrain,6.045,2165.345,11.229,32488,0.171
RobotBattleLearningBrain,6.327,2183.990,11.366,32528,0.171
RobotBattleLearningBrain,5.184,2201.454,11.384,32526,0.172
RobotBattleLearningBrain,5.168,2218.492,11.030,32392,0.172
RobotBattleLearningBrain,5.307,2236.447,11.764,32510,0.172
RobotBattleLearningBrain,5.137,2252.368,10.008,32504,0.172
RobotBattleLearningBrain,5.551,2268.966,10.350,32568,0.173
RobotBattleLearningBrain,6.530,2287.990,11.587,32512,0.172
RobotBattleLearningBrain,5.168,2305.433,11.353,32434,0.173
RobotBattleLearningBrain,5.849,2323.136,11.005,32556,0.172
